sku1,sku2,association_composite_score
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8687034965521989
Let's Try Salted Peanuts,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.858048854294656
Haldiram's Bhujia Sev (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8473784840815355
Haldiram's Bhujia Sev (200.0 GRAM),Cheetos Cheese Puffs (28.0 GRAM),0.8047819734871009
Let's Try Salted Peanuts,Haldiram's Bhujia Sev (200.0 GRAM),0.7836170212765956
Haldiram's Bhujia Sev (200.0 GRAM),Let's Try Salted Peanuts,0.7823966065747614
Let's Try Salted Peanuts,Chheda's Yellow Banana Chips (170.0 GRAM),0.7789438406438443
Haldiram's Bhujia Sev (200.0 GRAM),Chheda's Yellow Banana Chips (170.0 GRAM),0.7550295871909019
Let's Try Salted Peanuts,Cheetos Cheese Puffs (28.0 GRAM),0.7548670655290828
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),Let's Try Salted Peanuts,0.74601561500064
Let's Try Salted Peanuts,Haldiram's Moong Dal,0.7443314097174636
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),Cheetos Cheese Puffs (28.0 GRAM),0.7382274962973799
Haldiram's Bhujia Sev (200.0 GRAM),Haldiram's Moong Dal,0.7375138854180295
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Let's Try Salted Peanuts,0.736963341352523
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.734476227006458
Let's Try Salted Peanuts,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.7343789537895107
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Bhujia Sev (200.0 GRAM),0.7289339953580551
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),Haldiram's Bhujia Sev (200.0 GRAM),0.7286401784571502
Chheda's Yellow Banana Chips (170.0 GRAM),Haldiram's Moong Dal,0.7262903935399039
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7228794483195768
Kurkure Masala Munch,Cheetos Cheese Puffs (28.0 GRAM),0.721388943264494
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Cheetos Cheese Puffs (28.0 GRAM),0.7212283534872876
Chheda's Yellow Banana Chips (170.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7207306910520983
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),Haldiram's Moong Dal,0.718149760546223
Chheda's Yellow Banana Chips (170.0 GRAM),Cheetos Cheese Puffs (28.0 GRAM),0.7165281563823886
Haldiram's Bhujia Sev (200.0 GRAM),Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.7161574543943625
Kurkure Masala Munch,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.711046569692451
