sku1,sku2,association_composite_score
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8422780575640989
Cheetos Cheese Puffs (28.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.835022674637697
Haldiram's Bhujia Sev (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8233216531192724
Haldiram's Masala Tasty Nuts (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8222767316588828
Rajdhani Roasted Chana (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8198741699885865
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8191515244861927
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,Haldiram's Moong Dal,0.8155688453035541
Scotch-Brite Scrub Sponge (Pack of 3),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8138156620657793
Haldiram's Bhujia Sev (200.0 GRAM),Cheetos Cheese Puffs (28.0 GRAM),0.8114678899082568
Cheetos Cheese Puffs (28.0 GRAM),Haldiram's Bhujia Sev (200.0 GRAM),0.8058823529411765
Haldiram's Moong Dal,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.801230138721897
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7987845604409348
Let's Try Salted Peanuts,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7936707163482191
Haldiram's Lite Chiwda (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7914595278044025
Haldiram's Masala Tasty Nuts (200.0 GRAM),Haldiram's Moong Dal,0.7910073125106287
The Theatre Project Gourmet Popcorn - Cheddar Cheese (60.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7883761792771606
RiteBite Max Protein 10g Protein Bar Choco Almond,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7856635931113649
Haldiram's Salted Peanut,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7851500874949522
Chheda's Yellow Banana Chips (170.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7847280488804282
Let's Try Salted Peanuts,Haldiram's Masala Tasty Nuts (200.0 GRAM),0.7795214078529172
Lay's Spanish Tomato Tango Potato Chips,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7784984412665819
Crax Crunchy Pipes Salted Puff Snacks,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.777473354790092
Haldiram's Moong Dal,Haldiram's Masala Tasty Nuts (200.0 GRAM),0.776093920817576
Max Protein Choco Chips Flavoured Biscuits | Maida-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.774519428670069
Chheda's Yellow Banana Chips (170.0 GRAM),Lay's Spanish Tomato Tango Potato Chips,0.7704714369086825
Haldiram's Moong Dal,Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,0.7649169548211552
Haldiram's Masala Tasty Nuts (200.0 GRAM),Let's Try Salted Peanuts,0.763661021100082
RiteBite Max Protein 10g Protein Bar Choco Almond,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.760069182505658
Haldiram's Bhujia Sev (200.0 GRAM),Haldiram's Moong Dal,0.7597550587169486
Lay's Spanish Tomato Tango Potato Chips,Chheda's Yellow Banana Chips (170.0 GRAM),0.7584150747028318
Cheetos Cheese Puffs (28.0 GRAM),Haldiram's Moong Dal,0.7546280889772154
Chheda's Yellow Banana Chips (170.0 GRAM),Haldiram's Moong Dal,0.7446519402555853
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Haldiram's Moong Dal,0.7431438127090302
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7427331861869226
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Lay's Spanish Tomato Tango Potato Chips,0.7408632358758588
Lay's Spanish Tomato Tango Potato Chips,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7325824843693008
Haldiram's Moong Dal,Cheetos Cheese Puffs (28.0 GRAM),0.7295207187801145
Haldiram's Moong Dal,Haldiram's Bhujia Sev (200.0 GRAM),0.7294215180545321
Haldiram's Moong Dal,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7291328236980412
Haldiram's Moong Dal,Chheda's Yellow Banana Chips (170.0 GRAM),0.7273091239152494
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7216641255164273
Lay's Spanish Tomato Tango Potato Chips,Haldiram's Moong Dal,0.709907528466494
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7051772636211995
Haldiram's Moong Dal,Lay's Spanish Tomato Tango Potato Chips,0.7043963201559418
Haldiram's Moong Dal,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.6936635744939096
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Cheetos Cheese Puffs (28.0 GRAM),0.6888298581662426
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Masala Tasty Nuts (200.0 GRAM),0.688431629392728
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Moong Dal,0.6837011467504428
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.6827969983980215
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Bhujia Sev (200.0 GRAM),0.6745024616878164
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.668287284810766
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Lay's Spanish Tomato Tango Potato Chips,0.6591466894530305
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.6559124361701083
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,0.6555818704560123
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Chheda's Yellow Banana Chips (170.0 GRAM),0.6540243494989368
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Let's Try Salted Peanuts,0.6509621663170145
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.6395431591688632
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,RiteBite Max Protein 10g Protein Bar Choco Almond,0.6386308314563935
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Haldiram's Moong Dal,0.6206957133713948
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,0.6056456932566456
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.599453145019566
