sku1,sku2,association_composite_score
Crax Corn Rings Masala Mania Puff Snacks,Bingo! Mad Angles Masala Madness Crisps,0.8438536699691064
Crax Corn Rings Masala Mania Puff Snacks,Chheda's Golden Plain Salted Chips (170.0 GRAM),0.8391851607463617
Crax Corn Rings Masala Mania Puff Snacks,Chheda's Yellow Banana Chips (170.0 GRAM),0.8270672713529857
Kurkure Yummy PuffCorn Yummy Cheese Chips,Britannia Treat Jimjam Naughty Jam Cream Biscuits | Trans Fat-free,0.8176334106728538
Bingo! Original Style Chilli Sprinkled - Flat Cut Spicy Potato Chips Pack for Snacks,Daily Good Raw Peanut - Singdana,0.8122652155769584
Let'S Try Roasted Chana (450.0 GRAM),Peppy Tomato Disc (55.0 GRAM),0.7643021330640694
Balaji Simply Salted Chips (135.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7636886277478783
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7586239338688614
Scotch-Brite Scrub Sponge (Pack of 3),Lay's Spanish Tomato Tango Potato Chips,0.7564035558508826
Kurkure Yummy PuffCorn Yummy Cheese Chips,Britannia 50-50 Maska Chaska Biscuits Butter Flavoured Crackers | Trans Fat-free,0.7535240854864167
Crax Corn Rings Masala Mania Puff Snacks,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7519044826706338
Let's Try Potato Wafers | Vrat | Fasting Chips,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.7504383089718982
Society Natural Tea (250.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7500046477363496
Peppy Cheese Balls (55.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7492115918841284
Cadbury Oreo Chocolate Flavour Creme Sandwich Biscuit,Daily Good Cashew | W320 (100.0 GRAM),0.7475806654111739
Bingo! Original Style Chilli Sprinkled - Flat Cut Spicy Potato Chips Pack for Snacks,Britannia 50-50 Maska Chaska Biscuits Butter Flavoured Crackers | Trans Fat-free,0.7463703758140772
Peppy Tomato Disc (55.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7459474929311658
Beyond Snack Kerala Banana Chips - Peri Peri (70.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7429143203778328
Let's Try Potato Wafers | Vrat | Fasting Chips,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7419472230032886
