sku1,sku2,association_composite_score
Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.8659574468085107
Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.8400684931506848
Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,0.7969788519637462
Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.7922710733744132
Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7734806096855102
Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.7701787548690886
Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.7631306765815655
Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,0.7542480354172423
Catch Compounded Hing,Catch Jeera Whole,0.748753402634681
Catch Turmeric Powder/Haldi,Catch Coriander Powder,0.7471633061412959
Catch Coriander Powder,Catch Red Chilli Powder,0.7464721799424996
Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,0.7447149203998518
Catch Coriander Powder,Catch Turmeric Powder/Haldi,0.7431183623210712
Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,0.740616007323451
Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,Britannia Pure Magic Choco Stars | Chunky Choco Topped Cookie,0.7380088751688211
Kinder Schoko-Bons Crispy | Chocolate | Milky & Cocoa Filling,Catch Jeera Whole,0.7371042275151864
Catch Turmeric Powder/Haldi,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7308501359601867
Tata Tea Premium Desh Ki Chai Black Tea,Catch Jeera Whole,0.729094534375934
Bevzilla Assorted Instant Coffee Powder Sachets,Rajdhani Moong Chilka Dal (500.0 GRAM),0.7282771896888488
Bevzilla Assorted Instant Coffee Powder Sachets,Catch Jeera Whole,0.71863798537648
Catch Super Garam Masala,Catch Jeera Whole,0.7158820046967753
Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,Britannia The Original Bourbon | Creme Biscuit with Chocolate | Chocolatey Indulgence in every layer,0.7143831244721152
Nutraj Classic Green Cardamom (Elaichi) - Pouch,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7068400278616207
Rajdhani Moong Chilka Dal (500.0 GRAM),Bevzilla Assorted Instant Coffee Powder Sachets,0.7064857669953846
Brooke Bond Red Label Tea,Catch Jeera Whole,0.7056835166424208
Catch Turmeric Powder/Haldi,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.7047022395644835
Catch Coriander Powder,Tata Tea Agni Tea,0.7038995922154665
Rajdhani Moong Chilka Dal (500.0 GRAM),Catch Jeera Whole,0.7033387043226903
Tata Tea Agni Tea,Catch Jeera Whole,0.702467891670148
Bevzilla Assorted Instant Coffee Powder Sachets,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7016161305217793
Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,Catch Jeera Whole,0.7014190606748917
Catch Compounded Hing,"Maggi Nutri-licious Masala Veg Atta Noodles, Instant Noodles",0.7011030812054084
Nutraj Classic Green Cardamom (Elaichi) - Pouch,Tata Tea Agni Tea,0.6979343414339796
Catch Compounded Hing,Tata Tea Agni Tea,0.6967894953244012
Bevzilla Assorted Instant Coffee Powder Sachets,"Maggi Nutri-licious Masala Veg Atta Noodles, Instant Noodles",0.6965906909151148
Maggi Masala-ae-Magic Sabzi Masala,"Maggi Nutri-licious Masala Veg Atta Noodles, Instant Noodles",0.6945046273997304
Catch Coriander Powder,"Maggi Nutri-licious Masala Veg Atta Noodles, Instant Noodles",0.6925945486665076
Nutraj Classic Green Cardamom (Elaichi) - Pouch,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.6896377361805733
Catch Turmeric Powder/Haldi,Catch Jeera Whole,0.6891554013610346
Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,Nutraj Classic Green Cardamom (Elaichi) - Pouch,0.688449005076588
Catch Turmeric Powder/Haldi,Tata Tea Premium Desh Ki Chai Black Tea,0.6881285338367475
"Maggi Nutri-licious Masala Veg Atta Noodles, Instant Noodles",Catch Jeera Whole,0.6876013494927506
Catch Coriander Powder,Catch Jeera Whole,0.6851424940922657
Nutraj Classic Green Cardamom (Elaichi) - Pouch,Catch Jeera Whole,0.6837835746124579
