sku1,sku2,association_composite_score
Cadbury Brownie | Rich & Fudgy,Cadbury Brownie,0.8223275558556844
Christmas Non-woven Deer Snowman Santa Claus Headband | Party Propz,Santa Design Christmas Goggles for Kids & Adults | Party Propz,0.798360655737705
Santa Design Christmas Goggles for Kids & Adults | Party Propz,Christmas Non-woven Deer Snowman Santa Claus Headband | Party Propz,0.7888
Cadbury Brownie,Cadbury Brownie | Rich & Fudgy,0.7786389163044922
Kinder Joy Disney Princess | Single Pack,Kinder Creamy Milky And Cocoa | Extruded Rice,0.742426299639057
Christmas Non-woven Deer Snowman Santa Claus Headband | Party Propz,Fake Moustache Christmas Santa Claus Beard | Party Propz,0.7376370584663738
Kinder Joy Disney Princess | Single Pack,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7295229373646717
Winkies Cake Chocolate Cake Slice | Bakery Delight,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.7106374038651393
Kinder Joy | Single Pack | Assorted,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.701768187040584
Santa Design Christmas Goggles for Kids & Adults | Party Propz,Fake Moustache Christmas Santa Claus Beard | Party Propz,0.7014739288307916
Fake Moustache Christmas Santa Claus Beard | Party Propz,Christmas Non-woven Deer Snowman Santa Claus Headband | Party Propz,0.6981481481481482
Mangat Ram Unpolished Masoor Sabut,Kinder Schoko-Bons Crispy | Chocolate | Milky & Cocoa Filling,0.6973766483487347
Cadbury Brownie,Parle Hide & Seek Chocolate Biscuits | Rich & Crunchy,0.693443201655762
Mangat Ram Unpolished Kala Chana (500.0 GRAM),Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.6922010561233549
Kinder Creamy Milky And Cocoa | Extruded Rice,Kinder Joy Disney Princess | Single Pack,0.6901978238252451
Bambino Vermicelli Premium,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.6869965369043824
Gits Mini Gulab Jamun Tin | Authentic Indian Sweet,Britannia Gobbles Bar Cake Fruity Fun | Bakery Delight,0.685288804035657
