sku1,sku2,association_composite_score
Chheda's Yellow Banana Chips (170.0 GRAM),Haldiram's Moong Dal,0.806457335167317
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Cheetos Cheese Puffs (28.0 GRAM),0.80475026957638
Chheda's Yellow Banana Chips (170.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8042553191489361
Chheda's Yellow Banana Chips (170.0 GRAM),Cheetos Cheese Puffs (28.0 GRAM),0.7956864706525004
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7915985992535413
Cheetos Cheese Puffs (28.0 GRAM),Haldiram's Moong Dal,0.7865735693225713
Haldiram's Moong Dal,Cheetos Cheese Puffs (28.0 GRAM),0.7859568525389653
Cheetos Cheese Puffs (28.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7851749037227216
Cheetos Cheese Puffs (28.0 GRAM),Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7806218508324267
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Moong Dal,0.7715423792357605
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7709861618356598
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Chheda's Yellow Banana Chips (170.0 GRAM),0.7647999999999999
RiteBite Max Protein 10g Protein Bar Choco Almond,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7591563596824356
RiteBite Max Protein 10g Protein Bar Choco Almond,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7586215962603613
Haldiram's Moong Dal,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7521845710165824
Cheetos Cheese Puffs (28.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.748195193537703
Haldiram's Moong Dal,Chheda's Yellow Banana Chips (170.0 GRAM),0.7476528078186334
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Cheetos Cheese Puffs (28.0 GRAM),0.7463614734578342
Haldiram's Moong Dal,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.742343098553462
Kurkure Green Chutney Style (68.0 GRAM),Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7408962770552543
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7406791392709229
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7403888480024364
Kurkure Green Chutney Style (68.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7399327629473254
Cheetos Cheese Puffs (28.0 GRAM),Chheda's Yellow Banana Chips (170.0 GRAM),0.7382461489088574
Haldiram's Moong Dal,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7361211247296324
Haldiram's Moong Dal,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7351380046212045
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7348900897788739
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),RiteBite Max Protein 10g Protein Bar Choco Almond,0.734292315933385
Aashirvaad 100% Chana Dal Besan (500.0 GRAM),Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7334705721192343
Origami Luncheon Tissue Paper Napkins - 32 X 32 cm - 50 Serviettes,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.732650236054261
Cheetos Cheese Puffs (28.0 GRAM),RiteBite Max Protein 10g Protein Bar Choco Almond,0.7321198178507404
Haldiram's Moong Dal,RiteBite Max Protein 10g Protein Bar Choco Almond,0.7310054802284411
Cheetos Masala Balls (28.0 GRAM),Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7285145538995725
RiteBite Max Protein 10g Protein Bar Choco Almond,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7273100819580234
Chheda's Yellow Banana Chips (170.0 GRAM),Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7253735609440347
Cheetos Cheese Puffs (28.0 GRAM),Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.722837357797353
Chheda's Yellow Banana Chips (170.0 GRAM),RiteBite Max Protein 10g Protein Bar Choco Almond,0.7226448819583873
Max Protein Choco Chips Flavoured Biscuits | Maida-free,RiteBite Max Protein 10g Protein Bar Choco Almond,0.7225852228443885
RiteBite Max Protein 10g Protein Bar Choco Almond,Max Protein Choco Chips Flavoured Biscuits | Maida-free,0.7223071816269628
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7200454090460825
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7192177083716991
RiteBite Max Protein 10g Protein Bar Choco Almond,Cheetos Cheese Puffs (28.0 GRAM),0.7180343176895716
