sku1,sku2,association_composite_score
Parle Melody Chocolaty Toffee (176.0 GRAM),Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.802127659574468
Parle Hide & Seek Milano Chocolate Flavoured Biscuits,Parle Melody Chocolaty Toffee (176.0 GRAM),0.7516279069767442
Nescafe Cafe Style Iced Latte Cold Coffee (170.0 MILLILITRE),Sunfeast Nice Biscuit Coconut Flavoured Biscuits | Trans Fat-free,0.7234339882815004
Balaji Cream & Onion Wafers (135.0 GRAM),Balaji Tomato Wafers (135.0 GRAM),0.7122358396975144
Lay's India's Magic Masala Potato Chips (67.0 GRAM),Lay's American Cream & Onion Potato Chips,0.7024323464428331
Parle Hide & Seek Milano Chocolate Flavoured Biscuits,Lal Sweets Motichoor Laddu,0.7016289786732398
The Healthy Binge Ragi Baked Chips Chatpata Chaat- High Protein & Fibre (40.0 GRAM),Modern Kitchens Potato Chips Salted (70.0 GRAM),0.6991571236709249
The Healthy Binge Ragi Baked Chips Chatpata Chaat- High Protein & Fibre (40.0 GRAM),The Healthy Binge Quinoa Baked Chips Smokey Bbq -High Protein And Fibre (40.0 GRAM),0.6947369709922304
Bhagirathi Jowar Atta (500.0 GRAM),Let's Try Kerala Garlic Mix (180.0 GRAM),0.6904180871139085
Parle Melody Chocolaty Toffee (176.0 GRAM),Lal Sweets Motichoor Laddu,0.6894651981131048
Modern Kitchens Potato Chips Salted (70.0 GRAM),The Healthy Binge Ragi Baked Chips Chatpata Chaat- High Protein & Fibre (40.0 GRAM),0.6822493120165861
Lay's India's Magic Masala Potato Chips (67.0 GRAM),Kurkure Playz Puffcorn Yummy Cheese,0.6750900619044269
The Healthy Binge Ragi Baked Chips Chatpata Chaat- High Protein & Fibre (40.0 GRAM),Crax Crunchy Pipes Salted Puff Snacks,0.6721671538644974
The Healthy Binge Quinoa Baked Chips Smokey Bbq -High Protein And Fibre (40.0 GRAM),The Healthy Binge Ragi Baked Chips Chatpata Chaat- High Protein & Fibre (40.0 GRAM),0.6676612346668449
Sunfeast Nice Biscuit Coconut Flavoured Biscuits | Trans Fat-free,Nescafe Cafe Style Iced Latte Cold Coffee (170.0 MILLILITRE),0.6665975662765391
Heka Bites Roasted Jowar Puffs Majestic Masala - Low Calorie & Healthy Snacks,The Whole Truth Double Cocoa Protein Bar,0.6611318362470436
"Ritebite Max Protein Peri Peri 10G Multigrain Protein Chips, Healthy Snacks & Munchies",Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6607473544973544
Lay's Potato Chips - Chile Lemon Flavour,Lay's American Cream & Onion Potato Chips (48.0 GRAM),0.6590830679056219
Piknik Classic Tomato Chilli,Lal Sweets Motichoor Laddu,0.6578295591563021
Lal Sweets Motichoor Laddu,Piknik Classic Tomato Chilli,0.6578295591563021
ACT II Ready to Eat Caramel Popcorn - Classic Caramel Bliss (35.0 GRAM),Society Natural Tea (250.0 GRAM),0.6536996016040849
Lal Sweets Motichoor Laddu,Parle Hide & Seek Milano Chocolate Flavoured Biscuits,0.6514976958525347
Modern Kitchens Potato Chips Salted (70.0 GRAM),The Healthy Binge Quinoa Baked Chips Smokey Bbq -High Protein And Fibre (40.0 GRAM),0.6491173277413407
Bhagirathi Jowar Atta (500.0 GRAM),Lets Try Lite Mixture (180.0 GRAM),0.6472110677154961
Lay's India's Magic Masala Potato Chips (67.0 GRAM),Haldirams Soya Sticks,0.6413519553579119
The Healthy Binge Quinoa Baked Chips Smokey Bbq -High Protein And Fibre (40.0 GRAM),Modern Kitchens Potato Chips Salted (70.0 GRAM),0.6392792873183719
Daily Good Till - Sesame White (100.0 GRAM),Uncle Chipps - Spicy Treat,0.6383648221489111
Modern Kitchens Potato Chips Salted (70.0 GRAM),Crax Crunchy Pipes Salted Puff Snacks,0.6377793060436889
Heka Bites Roasted Jowar Puffs Majestic Masala - Low Calorie & Healthy Snacks,Britannia Nutrichoice High-Fibre Digestive Biscuits,0.637662255998419
