sku1,sku2,association_composite_score
Rajdhani Roasted Chana (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8158891004096691
Palekar Knot Premium Salty Khari | Preservative-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8076269323042549
Haldiram's Soan Papdi,Lal Sweets Motichoor Laddu,0.8042372881355933
Haldiram's Soan Papdi,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8016884989784882
Haldiram Aloo Bhujia ,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7941960831001846
Kinder Joy - Single Pack - Assorted,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7907064647459061
Lal Sweets Motichoor Laddu,Haldiram's Soan Papdi,0.7846774193548387
Max Protein Choco Chips Flavoured Biscuits | Maida-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7761274164023626
"Ching's Secret Veg Hakka Noodles, Cooks In 5-7 mins, Just Soak & Drain",YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7678143370498197
Piknik Classic Tomato Chilli,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.765643589722091
Crax Crunchy Pipes Salted Puff Snacks,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7646874913333273
Lal Sweets Motichoor Laddu,Om Shanthi Havan Samagri | Cycle,0.7639548251842836
Lal Sweets Motichoor Laddu,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7585869667753435
Lal Sweets Motichoor Laddu,Crax Crunchy Pipes Salted Puff Snacks,0.743051484932191
Kotton Multipurpose Napkin | 100% Virgin Pulp-Paper | 25 cm X 25 cm | 100Pcs,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7429699093672089
Om Shanthi Havan Samagri | Cycle,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7355994829336665
Crax Crunchy Pipes Salted Puff Snacks,Om Shanthi Havan Samagri | Cycle,0.7330328441649197
Crax Crunchy Pipes Salted Puff Snacks,Lal Sweets Motichoor Laddu,0.7254088050314467
Om Shanthi Havan Samagri | Cycle,Lal Sweets Motichoor Laddu,0.7187935348617029
Om Shanthi Havan Samagri | Cycle,Crax Crunchy Pipes Salted Puff Snacks,0.7064737043799736
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Crax Crunchy Pipes Salted Puff Snacks,0.6908707348414114
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Soan Papdi,0.6899050594880423
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Om Shanthi Havan Samagri | Cycle,0.6895752380189346
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Palekar Knot Premium Salty Khari | Preservative-free,0.6791343633021316
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Lal Sweets Motichoor Laddu,0.6690862476465168
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Rajdhani Roasted Chana (200.0 GRAM),0.6598289139423932
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Max Protein Choco Chips Flavoured Biscuits | Maida-free,0.659583522744096
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Kinder Joy - Single Pack - Assorted,0.6564249884349385
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram Aloo Bhujia ,0.6522233466277756
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Piknik Classic Tomato Chilli,0.6301436637851928
