sku1,sku2,association_composite_score
Chheda's Yellow Banana Chips (170.0 GRAM),Lal Sweets Motichoor Laddu,0.8550561797752809
Everest Chhole Masala,Haldiram Aloo Bhujia ,0.8394138082333205
Everest Coriander Powder (100.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8130840744337675
Lal Sweets Motichoor Laddu,Chheda's Yellow Banana Chips (170.0 GRAM),0.7932038834951456
Haldiram's Lite Chiwda (200.0 GRAM),Chheda's Yellow Banana Chips (170.0 GRAM),0.7852998236331568
Haldiram's Lite Chiwda (200.0 GRAM),Lal Sweets Motichoor Laddu,0.7851587301587301
Piknik Classic Tomato Chilli,Lal Sweets Motichoor Laddu,0.7834526051475204
Haldiram's Soan Papdi,Lal Sweets Motichoor Laddu,0.7754363143631435
Haldiram Aloo Bhujia ,Everest Chhole Masala,0.7741873273970835
Lal Sweets Motichoor Laddu,Haldiram's Soan Papdi,0.7734329991843607
Palekar Knot Premium Salty Khari | Preservative-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7713543626771139
Rajdhani Roasted Chana (200.0 GRAM),Om Shanthi Havan Samagri | Cycle,0.769410530828472
Chheda's Yellow Banana Chips (170.0 GRAM),Crax Crunchy Pipes Salted Puff Snacks,0.765832074985633
Chheda's Yellow Banana Chips (170.0 GRAM),Haldiram's Lite Chiwda (200.0 GRAM),0.7634298396845212
Rajdhani Roasted Chana (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7583953988832037
Everest Coriander Powder (100.0 GRAM),Palekar Knot Premium Salty Khari | Preservative-free,0.7568027468504632
Haldiram Aloo Bhujia ,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7559088565917834
Chheda's Yellow Banana Chips (170.0 GRAM),Haldiram's Soan Papdi,0.7554361519645159
"Ching's Secret Veg Hakka Noodles, Cooks In 5-7 mins, Just Soak & Drain",YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7521790431546529
Kinder Joy - Single Pack - Assorted,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.751504124532696
Piknik Classic Tomato Chilli,Crax Crunchy Pipes Salted Puff Snacks,0.7512204784822487
Haldiram's Soan Papdi,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7509357720089427
Max Protein Choco Chips Flavoured Biscuits | Maida-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.747620382287049
Everest Chhole Masala,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7456785111642255
Chheda's Yellow Banana Chips (170.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7445657535545176
Everest Coriander Powder (100.0 GRAM),Haldiram Aloo Bhujia ,0.7417660952887647
Everest Coriander Powder (100.0 GRAM),Everest Chhole Masala,0.7414880514168858
Lal Sweets Motichoor Laddu,Om Shanthi Havan Samagri | Cycle,0.741225385332675
Haldiram's Lite Chiwda (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7403383655764607
Piknik Classic Tomato Chilli,Om Shanthi Havan Samagri | Cycle,0.7368631832061882
Everest Chhole Masala,Crax Crunchy Pipes Salted Puff Snacks,0.7342661627614009
Haldiram's Lite Chiwda (200.0 GRAM),Haldiram Aloo Bhujia ,0.7331418677678838
Haldiram's Lite Chiwda (200.0 GRAM),Haldiram's Soan Papdi,0.7331418677678838
Lay's Spanish Tomato Tango Potato Chips,Lal Sweets Motichoor Laddu,0.7321668795232014
Haldiram's Lite Chiwda (200.0 GRAM),Om Shanthi Havan Samagri | Cycle,0.7321561593877977
Piknik Classic Tomato Chilli,Palekar Knot Premium Salty Khari | Preservative-free,0.7301303874645577
Crax Crunchy Pipes Salted Puff Snacks,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7282016710588137
Lal Sweets Motichoor Laddu,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7274946791451644
Chheda's Yellow Banana Chips (170.0 GRAM),Om Shanthi Havan Samagri | Cycle,0.726766400756117
Piknik Classic Tomato Chilli,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7257331908179365
Lay's Spanish Tomato Tango Potato Chips,Om Shanthi Havan Samagri | Cycle,0.7251915348038473
Piknik Classic Tomato Chilli,Chheda's Yellow Banana Chips (170.0 GRAM),0.7248545720862105
Lal Sweets Motichoor Laddu,Piknik Classic Tomato Chilli,0.7247558797896134
Palekar Knot Premium Salty Khari | Preservative-free,Om Shanthi Havan Samagri | Cycle,0.7237405713488576
Chheda's Yellow Banana Chips (170.0 GRAM),Piknik Classic Tomato Chilli,0.7228359089744223
Crax Crunchy Pipes Salted Puff Snacks,Om Shanthi Havan Samagri | Cycle,0.7220574537410696
Kotton Multipurpose Napkin | 100% Virgin Pulp-Paper | 25 cm X 25 cm | 100Pcs,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7199734035892228
Sunfeast All Rounder Crunchy Potato Chatpata Masala Flavoured Crackers | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7192666812298714
Haldiram's Lite Chiwda (200.0 GRAM),Crax Crunchy Pipes Salted Puff Snacks,0.7183038548752834
"Paper Boat Mango | Juicy Sips, Chewy Bites | Refreshing Summer Juice Drink",YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7176244400825407
Everest Chhole Masala,Everest Coriander Powder (100.0 GRAM),0.7164994449313467
Max Protein Choco Chips Flavoured Biscuits | Maida-free,Haldiram Aloo Bhujia ,0.7156540800963564
Everest Coriander Powder (100.0 GRAM),Om Shanthi Havan Samagri | Cycle,0.7155831301822774
