sku1,sku2,association_composite_score
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Cheetos Cheese Puffs (28.0 GRAM),0.8122611464968152
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.8002924993388092
Cheetos Cheese Puffs (28.0 GRAM),Haldiram's Moong Dal,0.797716847120772
Haldiram's Moong Dal,Cheetos Cheese Puffs (28.0 GRAM),0.7971001303371659
Cheetos Cheese Puffs (28.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7946646341463415
Cheetos Cheese Puffs (28.0 GRAM),Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7912037462758574
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Haldiram's Moong Dal,0.7787347852958539
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7777044571308772
RiteBite Max Protein 10g Protein Bar Choco Almond,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7693668424005158
RiteBite Max Protein 10g Protein Bar Choco Almond,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7669533193920512
Haldiram's Moong Dal,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7612755758027905
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Cheetos Cheese Puffs (28.0 GRAM),0.7569433689012648
Cheetos Cheese Puffs (28.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7564124064825319
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7506411075199038
Haldiram's Moong Dal,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7504960396196766
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7485203260960684
Haldiram's Moong Dal,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7460217887056408
Haldiram's Moong Dal,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.745103333535708
Kurkure Green Chutney Style (68.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7450281978245004
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7448520580278547
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),RiteBite Max Protein 10g Protein Bar Choco Almond,0.7445027986514652
Cheetos Cheese Puffs (28.0 GRAM),RiteBite Max Protein 10g Protein Bar Choco Almond,0.7423000915449123
Haldiram's Moong Dal,RiteBite Max Protein 10g Protein Bar Choco Almond,0.741170258833276
RiteBite Max Protein 10g Protein Bar Choco Almond,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.7371692977025295
Max Protein Choco Chips Flavoured Biscuits | Maida-free,RiteBite Max Protein 10g Protein Bar Choco Almond,0.7326329160724108
Cheetos Cheese Puffs (28.0 GRAM),Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7325593580883865
RiteBite Max Protein 10g Protein Bar Choco Almond,Max Protein Choco Chips Flavoured Biscuits | Maida-free,0.7323548748549852
RiteBite Max Protein 10g Protein Bar Choco Almond,Cheetos Cheese Puffs (28.0 GRAM),0.7282145913837432
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.72791027118284
RiteBite Max Protein 10g Protein Bar Choco Almond,Haldiram's Moong Dal,0.7276687602313008
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.7276110142973579
Cheetos Masala Balls (28.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7256047964581114
Aashirvaad 100% Chana Dal Besan (500.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7199866213918568
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,RiteBite Max Protein 10g Protein Bar Choco Almond,0.718889979735805
Origami Luncheon Tissue Paper Napkins - 32 X 32 cm - 50 Serviettes,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7165289037353311
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Haldiram's Moong Dal,0.7133907012066854
YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7112071053041301
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),Haldiram's Moong Dal,0.7087615147330381
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),Cheetos Cheese Puffs (28.0 GRAM),0.6954334119151316
Max Protein Choco Chips Flavoured Biscuits | Maida-free,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.6935316367142331
Max Protein Choco Chips Flavoured Biscuits | Maida-free,MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.6885415819072568
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,Max Protein Choco Chips Flavoured Biscuits | Maida-free,0.6760777105114915
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.6752922945055456
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,RiteBite Max Protein 10g Protein Bar Choco Almond,0.6747646442013345
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Cheetos Cheese Puffs (28.0 GRAM),0.6528627549145878
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Haldiram's Moong Dal,0.6482574829875349
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Kurkure Green Chutney Style (68.0 GRAM),0.6236337919378622
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Max Protein Choco Chips Flavoured Biscuits | Maida-free,0.6055481895717381
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.6005477475731551
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Cheetos Masala Balls (28.0 GRAM),0.5986533733545647
MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,Origami Luncheon Tissue Paper Napkins - 32 X 32 cm - 50 Serviettes,0.5961895040446039
