sku1,sku2,association_composite_score
Crax Corn Rings Masala Mania Puff Snacks,Bingo! Mad Angles Masala Madness Crisps,0.8511450893625387
Crax Corn Rings Masala Mania Puff Snacks,Chheda's Golden Plain Salted Chips (170.0 GRAM),0.8458498422285949
Crax Corn Rings Masala Mania Puff Snacks,Chheda's Yellow Banana Chips (170.0 GRAM),0.832656920924398
Let'S Try Roasted Chana (450.0 GRAM),Peppy Tomato Disc (55.0 GRAM),0.7714577212529605
Balaji Simply Salted Chips (135.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7684996891881797
Scotch-Brite Scrub Sponge (Pack of 3),Lay's Spanish Tomato Tango Potato Chips,0.7638059701492537
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7634030889110013
Kurkure Yummy PuffCorn Yummy Cheese Chips,Britannia 50-50 Maska Chaska Biscuits Butter Flavoured Crackers | Trans Fat-free,0.7594373214737093
Crax Corn Rings Masala Mania Puff Snacks,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7566413067268389
Let's Try Potato Wafers | Vrat | Fasting Chips,Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.7562279185453555
Society Natural Tea (250.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7547295032725807
Cadbury Oreo Chocolate Flavour Creme Sandwich Biscuit,Daily Good Cashew | W320 (100.0 GRAM),0.7542940750398376
Peppy Cheese Balls (55.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7539314513522081
Bingo! Original Style Chilli Sprinkled - Flat Cut Spicy Potato Chips Pack for Snacks,Britannia 50-50 Maska Chaska Biscuits Butter Flavoured Crackers | Trans Fat-free,0.7522274734850349
Peppy Tomato Disc (55.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.750646789331996
Beyond Snack Kerala Banana Chips - Peri Peri (70.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7475945084942354
Let's Try Potato Wafers | Vrat | Fasting Chips,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7466213186302675
Bingo! Mad Angles Masala Madness Crisps,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7424280636219249
Haldiram's Panchratan Mixture,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.742301939768426
ZOFF Green Cardamom Whole - Elaichi,Bingo! Mad Angles Masala Madness Crisps,0.7419415684631943
Korean Nongshim Shin Ramyun Noodle Soup Veg,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7418748385372588
Too Yumm! Karare Munchy Masala | Spicy | No Palm Oil Crisps,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7414455128205127
Lay's American Cream & Onion Potato Chips (48.0 GRAM),Daily Good Raw Peanut - Singdana,0.7408395410881398
Bingo! Mad Angles Masala Madness Crisps,Kurkure Masala Munch,0.7388571565084474
Let'S Try Roasted Chana (450.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.73882185566262
Let'S Try Roasted Chana (450.0 GRAM),Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),0.7380980524948138
Crax Corn Rings Masala Mania Puff Snacks,Cheetos Cheese Puffs (28.0 GRAM),0.7376105303910181
Rajdhani Roasted Chana (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7364838118155864
Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7363492750267859
Kurkure Yummy PuffCorn Yummy Cheese Chips,Kurkure Green Chutney Style (68.0 GRAM),0.7344198347088313
Lay's Spanish Tomato Tango Potato Chips,Scotch-Brite Scrub Sponge (Pack of 3),0.7339041095890411
Beyond Snack Kerala Banana Chips - Peri Peri (70.0 GRAM),The Theatre Project Gourmet Popcorn - Cheddar Cheese (60.0 GRAM),0.7325873118478159
Let's Try Potato Wafers | Vrat | Fasting Chips,Chheda's Yellow Banana Chips (170.0 GRAM),0.7319094904360555
Haldiram's Mini Bhakarwadi,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7315441184183763
Peppy Cheese Balls (55.0 GRAM),Peppy Tomato Disc (55.0 GRAM),0.7286314746331317
Daily Good Tamarind / Imli (200.0 GRAM),Britannia 50-50 Maska Chaska Biscuits Butter Flavoured Crackers | Trans Fat-free,0.7282808984361915
Let's Try Salted Peanuts,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7273179563626507
Scotch-Brite Scrub Sponge (Pack of 3),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7257270653103906
