sku1,sku2,association_composite_score
Bingo! Mad Angles Masala Madness Crisps,Kurkure Masala Munch,0.849358059914408
Kurkure Masala Munch,Bingo! Mad Angles Masala Madness Crisps,0.8128440366972477
Bingo! Mad Angles Masala Madness Crisps,Cheetos Cheese Puffs (28.0 GRAM),0.8117200726045235
Bingo! Mad Angles Masala Madness Crisps,Kurkure Solid Masti Masala Twisteez (61.0 GRAM),0.8115210688028093
Bingo! Mad Angles Masala Madness Crisps,Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,0.8098778190670197
Sunfeast Dark Fantasy Bourbon Chocolate Cream Biscuits | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.8081385367778282
Kurkure Solid Masti Masala Twisteez (61.0 GRAM),MAGGI 2-Minute Instant Noodles | Masala Noodles | Made With Quality Spices,0.7999526887464388
Kurkure Masala Munch,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7989435120125188
Bingo! Mad Angles Masala Madness Crisps,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7957969710415285
Haldiram's Bhujia Sev (200.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7939119866478501
Cheetos Masala Balls (28.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7939119866478499
Palekar Jeeo Butter | Toasted Buns With Jeera And Khari | Trans Fat-free,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7920246564531639
Cheetos Cheese Puffs (28.0 GRAM),YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.789424889491779
Haldiram's Moong Dal,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7875433444350572
RiteBite Max Protein 10g Protein Bar Choco Almond,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7858612083536396
Let's Try Salted Peanuts,YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,0.7846506212078888
Bingo! Mad Angles Masala Madness Crisps,Haldiram's Moong Dal,0.7840285743499942
Chheda's Golden Plain Salted Chips (170.0 GRAM),Chheda's Yellow Banana Chips (170.0 GRAM),0.7835992761755238
